Area,Element,Item,Year,Value
France,Production,Maize (corn),2012,15393496.8
France,Production,Maize (corn),2013,15041226.0
France,Production,Maize (corn),2014,18343320.0
France,Production,Maize (corn),2015,13716048.4
France,Production,Maize (corn),2016,11839729.0
France,Production,Maize (corn),2017,14534897.0
France,Production,Maize (corn),2018,12580430.0
France,Production,Maize (corn),2019,12845020.0
France,Production,Maize (corn),2020,13726410.0
France,Production,Maize (corn),2021,15358290.0
France,Production,Maize (corn),2022,10877190.0
France,Production,Maize (corn),2023,12834600.0
France,Production,Maize (corn),2024,14670620.0
France,Area harvested,Sugar beet,1995,454774.0
France,Area harvested,Sugar beet,1996,456361.0
France,Area harvested,Sugar beet,1997,457585.0
France,Area harvested,Sugar beet,1998,450557.0
France,Area harvested,Sugar beet,1999,435707.0
France,Area harvested,Sugar beet,2000,409664.0
France,Area harvested,Sugar beet,2001,429192.0
France,Area harvested,Sugar beet,2002,437919.0
France,Area harvested,Sugar beet,2003,399824.0
France,Area harvested,Sugar beet,2004,384557.0
France,Area harvested,Sugar beet,2005,378489.0
France,Area harvested,Sugar beet,2006,379343.0
France,Area harvested,Sugar beet,2007,393128.0
France,Area harvested,Sugar beet,2008,349258.0
France,Area harvested,Sugar beet,2009,373628.0
France,Area harvested,Sugar beet,2010,383763.0
France,Area harvested,Sugar beet,2011,391191.0
France,Area harvested,Sugar beet,2012,382683.0
France,Area harvested,Sugar beet,2013,393596.0
France,Area harvested,Sugar beet,2014,407148.0
France,Area harvested,Sugar beet,2015,385081.0
France,Area harvested,Sugar beet,2016,404985.0
France,Area harvested,Sugar beet,2017,486097.0
France,Area harvested,Sugar beet,2018,485850.0
France,Area harvested,Sugar beet,2019,446600.0
France,Area harvested,Sugar beet,2020,420670.0
France,Area harvested,Sugar beet,2021,407890.0
France,Area harvested,Sugar beet,2022,401610.0
France,Area harvested,Sugar beet,2023,380550.0
France,Area harvested,Sugar beet,2024,411630.0
France,Production,Sugar beet,1995,30342117.4
France,Production,Sugar beet,1996,30921147.2
France,Production,Sugar beet,1997,34005438.9
France,Production,Sugar beet,1998,30789879.5
France,Production,Sugar beet,1999,32473614.4
France,Production,Sugar beet,2000,31120959.1
France,Production,Sugar beet,2001,26847120.7
France,Production,Sugar beet,2002,33463754.9
France,Production,Sugar beet,2003,29329540.6
France,Production,Sugar beet,2004,30788266.0
France,Production,Sugar beet,2005,31149552.0
France,Production,Sugar beet,2006,29871448.5
France,Production,Sugar beet,2007,33229782.1
France,Production,Sugar beet,2008,30321172.0
France,Production,Sugar beet,2009,35160333.3
France,Production,Sugar beet,2010,31874920.2
France,Production,Sugar beet,2011,37944863.9
France,Production,Sugar beet,2012,33077399.4
France,Production,Sugar beet,2013,33630536.0
France,Production,Sugar beet,2014,37844567.0
France,Production,Sugar beet,2015,33507670.0
France,Production,Sugar beet,2016,34573877.0
France,Production,Sugar beet,2017,46300141.0
France,Production,Sugar beet,2018,39914030.0
France,Production,Sugar beet,2019,38024390.0
France,Production,Sugar beet,2020,26163360.0
France,Production,Sugar beet,2021,34365390.0
France,Production,Sugar beet,2022,31496750.0
France,Production,Sugar beet,2023,30580680.0
France,Production,Sugar beet,2024,32594090.0
France,Area harvested,Wheat,1995,4743444.0
France,Area harvested,Wheat,1996,5035701.0
France,Area harvested,Wheat,1997,5108308.0
France,Area harvested,Wheat,1998,5232624.0
France,Area harvested,Wheat,1999,5104076.0
France,Area harvested,Wheat,2000,5248436.0
France,Area harvested,Wheat,2001,4767362.0
France,Area harvested,Wheat,2002,5229556.0
France,Area harvested,Wheat,2003,4876697.0
France,Area harvested,Wheat,2004,5237005.0
France,Area harvested,Wheat,2005,5277999.0
France,Area harvested,Wheat,2006,5245735.0
France,Area harvested,Wheat,2007,5238602.0
France,Area harvested,Wheat,2008,5492443.0
France,Area harvested,Wheat,2009,5147394.0
France,Area harvested,Wheat,2010,5426820.0
France,Area harvested,Wheat,2011,5407328.0
France,Area harvested,Wheat,2012,5297826.0
France,Area harvested,Wheat,2013,5319778.0
France,Area harvested,Wheat,2014,5297210.0
France,Area harvested,Wheat,2015,5480208.0
France,Area harvested,Wheat,2016,5542247.0
France,Area harvested,Wheat,2017,5332084.0
France,Area harvested,Wheat,2018,5234090.0
France,Area harvested,Wheat,2019,5244250.0
France,Area harvested,Wheat,2020,4519780.0
France,Area harvested,Wheat,2021,5276730.0
France,Area harvested,Wheat,2022,4949840.0
France,Area harvested,Wheat,2023,4998280.0
France,Area harvested,Wheat,2024,4454180.0
France,Production,Wheat,1995,30869728.6
France,Production,Wheat,1996,35935157.3
France,Production,Wheat,1997,33862197.6
France,Production,Wheat,1998,39801138.2
France,Production,Wheat,1999,36950991.1
France,Production,Wheat,2000,37355956.9
France,Production,Wheat,2001,31545319.3
France,Production,Wheat,2002,38936514.8
France,Production,Wheat,2003,30479361.5
France,Production,Wheat,2004,39690179.5
France,Production,Wheat,2005,36886102.6
France,Production,Wheat,2006,35363563.4
France,Production,Wheat,2007,32763445.9
France,Production,Wheat,2008,39006372.0
France,Production,Wheat,2009,38336864.7
France,Production,Wheat,2010,38207431.0
France,Production,Wheat,2011,35992794.3
France,Production,Wheat,2012,37885741.8
France,Production,Wheat,2013,38651472.0
France,Production,Wheat,2014,38950202.0
France,Production,Wheat,2015,42750027.4
France,Production,Wheat,2016,29316331.0
France,Production,Wheat,2017,38677896.0
France,Production,Wheat,2018,35424140.0
France,Production,Wheat,2019,40604960.0
France,Production,Wheat,2020,30181140.0
France,Production,Wheat,2021,36559450.0
France,Production,Wheat,2022,34632380.0
France,Production,Wheat,2023,35995570.0
France,Production,Wheat,2024,26606940.0
Germany,Area harvested,Grapes,1995,103266.0
Germany,Area harvested,Grapes,1996,102428.0
Germany,Area harvested,Grapes,1997,102475.0
Germany,Area harvested,Grapes,1998,101665.0
Germany,Area harvested,Grapes,1999,101330.0
Germany,Area harvested,Grapes,2000,101546.0
Germany,Area harvested,Grapes,2001,99714.0
Germany,Area harvested,Grapes,2002,98772.0
Germany,Area harvested,Grapes,2003,98270.0
Germany,Area harvested,Grapes,2004,98403.0
Germany,Area harvested,Grapes,2005,98875.0
Germany,Area harvested,Grapes,2006,99172.0
Germany,Area harvested,Grapes,2007,99702.0
Germany,Area harvested,Grapes,2008,99744.0
Germany,Area harvested,Grapes,2009,100101.0
Germany,Area harvested,Grapes,2010,99907.0
Germany,Area harvested,Grapes,2011,99747.0
Germany,Area harvested,Grapes,2012,99584.0
Germany,Area harvested,Grapes,2013,99488.0
Germany,Area harvested,Grapes,2014,100075.0
Germany,Area harvested,Grapes,2015,99910.0
Germany,Area harvested,Grapes,2016,100039.0
Germany,Area harvested,Grapes,2017,100255.0
Germany,Area harvested,Grapes,2018,100180.0
Germany,Area harvested,Grapes,2019,100520.0
Germany,Area harvested,Grapes,2020,100710.0
Germany,Area harvested,Grapes,2021,100710.0
Germany,Area harvested,Grapes,2022,100870.0
Germany,Area harvested,Grapes,2023,101160.0
Germany,Area harvested,Grapes,2024,101560.0
Germany,Production,Grapes,1995,1487000.0
Germany,Production,Grapes,1996,1263000.0
Germany,Production,Grapes,1997,1146800.0
Germany,Production,Grapes,1998,1462600.0
Germany,Production,Grapes,1999,1659000.0
Germany,Production,Grapes,2000,1361000.0
Germany,Production,Grapes,2001,1226000.0
Germany,Production,Grapes,2002,1368000.0
Germany,Production,Grapes,2003,1130000.0
Germany,Production,Grapes,2004,1184000.0
Germany,Production,Grapes,2005,1449000.0
Germany,Production,Grapes,2006,1224700.0
Germany,Production,Grapes,2007,1400600.0
Germany,Production,Grapes,2008,1351500.0
Germany,Production,Grapes,2009,1235000.0
Germany,Production,Grapes,2010,952500.0
Germany,Production,Grapes,2011,1250000.0
Germany,Production,Grapes,2012,1227000.0
Germany,Production,Grapes,2013,1140000.0
Germany,Production,Grapes,2014,1245000.0
Germany,Production,Grapes,2015,1199030.0
Germany,Production,Grapes,2016,1225570.0
Germany,Production,Grapes,2017,1014235.0
Germany,Production,Grapes,2018,1403600.0
Germany,Production,Grapes,2019,1125000.0
Germany,Production,Grapes,2020,1149540.0
Germany,Production,Grapes,2021,1151470.0
Germany,Production,Grapes,2022,1223320.0
Germany,Production,Grapes,2023,1174050.0
Germany,Production,Grapes,2024,1059770.0
Germany,Area harvested,Maize (corn),1995,325065.0
Germany,Area harvested,Maize (corn),1996,372116.0
Germany,Area harvested,Maize (corn),1997,368267.0
Germany,Area harvested,Maize (corn),1998,341029.0
Germany,Area harvested,Maize (corn),1999,370735.0
Germany,Area harvested,Maize (corn),2000,360841.0
Germany,Area harvested,Maize (corn),2001,396544.0
Germany,Area harvested,Maize (corn),2002,398745.0
Germany,Area harvested,Maize (corn),2003,463355.0
Germany,Area harvested,Maize (corn),2004,461697.0
Germany,Area harvested,Maize (corn),2005,443100.0
Germany,Area harvested,Maize (corn),2006,401000.0
Germany,Area harvested,Maize (corn),2007,403210.0
Germany,Area harvested,Maize (corn),2008,520478.0
Germany,Area harvested,Maize (corn),2009,464333.0
Germany,Area harvested,Maize (corn),2010,466591.0
Germany,Area harvested,Maize (corn),2011,487900.0
Germany,Area harvested,Maize (corn),2012,526200.0
Germany,Area harvested,Maize (corn),2013,497000.0
Germany,Area harvested,Maize (corn),2014,481300.0
Germany,Area harvested,Maize (corn),2015,455500.0
Germany,Area harvested,Maize (corn),2016,416300.0
Germany,Area harvested,Maize (corn),2017,432000.0
Germany,Area harvested,Maize (corn),2018,410900.0
Germany,Area harvested,Maize (corn),2019,416000.0
Germany,Area harvested,Maize (corn),2020,419300.0
Germany,Area harvested,Maize (corn),2021,430700.0
Germany,Area harvested,Maize (corn),2022,456700.0
Germany,Area harvested,Maize (corn),2023,466400.0
Germany,Area harvested,Maize (corn),2024,498400.0
Germany,Production,Maize (corn),1995,2394565.0
Germany,Production,Maize (corn),1996,2912620.0
Germany,Production,Maize (corn),1997,3188356.0
Germany,Production,Maize (corn),1998,2781464.0
Germany,Production,Maize (corn),1999,3256916.0
Germany,Production,Maize (corn),2000,3324018.0
Germany,Production,Maize (corn),2001,3504514.0
Germany,Production,Maize (corn),2002,3738448.0
Germany,Production,Maize (corn),2003,3421642.0
Germany,Production,Maize (corn),2004,4199857.0
Germany,Production,Maize (corn),2005,4082700.0
Germany,Production,Maize (corn),2006,3220300.0
Germany,Production,Maize (corn),2007,3809320.0
Germany,Production,Maize (corn),2008,5105861.0
Germany,Production,Maize (corn),2009,4527228.0
Germany,Production,Maize (corn),2010,4211501.0
Germany,Production,Maize (corn),2011,5183600.0
Germany,Production,Maize (corn),2012,5514700.0
Germany,Production,Maize (corn),2013,4387300.0
Germany,Production,Maize (corn),2014,5142100.0
Germany,Production,Maize (corn),2015,3973000.0
Germany,Production,Maize (corn),2016,4017800.0
Germany,Production,Maize (corn),2017,4547600.0
Germany,Production,Maize (corn),2018,3344300.0
Germany,Production,Maize (corn),2019,3664800.0
Germany,Production,Maize (corn),2020,4020000.0
Germany,Production,Maize (corn),2021,4462400.0
Germany,Production,Maize (corn),2022,3837400.0
Germany,Production,Maize (corn),2023,4498900.0
Germany,Production,Maize (corn),2024,5010500.0
Germany,Area harvested,Sugar beet,1995,512850.0
Germany,Area harvested,Sugar beet,1996,515476.0
Germany,Area harvested,Sugar beet,1997,503664.0
Germany,Area harvested,Sugar beet,1998,503376.0
Germany,Area harvested,Sugar beet,1999,489163.0
Germany,Area harvested,Sugar beet,2000,452006.0
Germany,Area harvested,Sugar beet,2001,447697.0
Germany,Area harvested,Sugar beet,2002,459400.0
Germany,Area harvested,Sugar beet,2003,445630.0
Germany,Area harvested,Sugar beet,2004,440545.0
Germany,Area harvested,Sugar beet,2005,420100.0
Germany,Area harvested,Sugar beet,2006,357600.0
Germany,Area harvested,Sugar beet,2007,402697.0
Germany,Area harvested,Sugar beet,2008,369300.0
Germany,Area harvested,Sugar beet,2009,383600.0
Germany,Area harvested,Sugar beet,2010,364120.0
Germany,Area harvested,Sugar beet,2011,398100.0
Germany,Area harvested,Sugar beet,2012,402100.0
Germany,Area harvested,Sugar beet,2013,357400.0
Germany,Area harvested,Sugar beet,2014,372500.0
Germany,Area harvested,Sugar beet,2015,312800.0
Germany,Area harvested,Sugar beet,2016,364300.0
Germany,Area harvested,Sugar beet,2017,406700.0
Germany,Area harvested,Sugar beet,2018,413900.0
Germany,Area harvested,Sugar beet,2019,408700.0
Germany,Area harvested,Sugar beet,2020,386000.0
Germany,Area harvested,Sugar beet,2021,390700.0
Germany,Area harvested,Sugar beet,2022,396300.0
Germany,Area harvested,Sugar beet,2023,395800.0
Germany,Area harvested,Sugar beet,2024,437200.0
Germany,Production,Sugar beet,1995,26048756.0
Germany,Production,Sugar beet,1996,26064135.0
Germany,Production,Sugar beet,1997,25768883.0
Germany,Production,Sugar beet,1998,26787164.0
Germany,Production,Sugar beet,1999,27568807.0
Germany,Production,Sugar beet,2000,27870100.0
Germany,Production,Sugar beet,2001,24729921.0
Germany,Production,Sugar beet,2002,26794334.0
Germany,Production,Sugar beet,2003,23715735.0
Germany,Production,Sugar beet,2004,27158966.0
Germany,Production,Sugar beet,2005,25284700.0
Germany,Production,Sugar beet,2006,20646600.0
Germany,Production,Sugar beet,2007,25139137.0
Germany,Production,Sugar beet,2008,23002600.0
Germany,Production,Sugar beet,2009,25919041.0
Germany,Production,Sugar beet,2010,23431929.0
Germany,Production,Sugar beet,2011,29577500.0
Germany,Production,Sugar beet,2012,27686800.0
Germany,Production,Sugar beet,2013,22828700.0
Germany,Production,Sugar beet,2014,29748100.0
Germany,Production,Sugar beet,2015,22572000.0
Germany,Production,Sugar beet,2016,27065500.0
Germany,Production,Sugar beet,2017,34059900.0
Germany,Production,Sugar beet,2018,26191400.0
Germany,Production,Sugar beet,2019,29728300.0
Germany,Production,Sugar beet,2020,28618100.0
Germany,Production,Sugar beet,2021,31945400.0
Germany,Production,Sugar beet,2022,28201400.0
Germany,Production,Sugar beet,2023,31558200.0
Germany,Production,Sugar beet,2024,36682200.0
Germany,Area harvested,Wheat,1995,2578793.0
Germany,Area harvested,Wheat,1996,2594418.0
Germany,Area harvested,Wheat,1997,2719643.0
Germany,Area harvested,Wheat,1998,2802455.0
Germany,Area harvested,Wheat,1999,2601122.0
Germany,Area harvested,Wheat,2000,2968940.0
Germany,Area harvested,Wheat,2001,2897202.0
Germany,Area harvested,Wheat,2002,3014620.0
Germany,Area harvested,Wheat,2003,2963731.0
Germany,Area harvested,Wheat,2004,3111651.0
Germany,Area harvested,Wheat,2005,3173800.0
Germany,Area harvested,Wheat,2006,3114700.0
Germany,Area harvested,Wheat,2007,2992075.0
Germany,Area harvested,Wheat,2008,3213485.0
Germany,Area harvested,Wheat,2009,3226036.0
Germany,Area harvested,Wheat,2010,3297699.0
Germany,Area harvested,Wheat,2011,3248200.0
Germany,Area harvested,Wheat,2012,3056700.0
Germany,Area harvested,Wheat,2013,3128200.0
Germany,Area harvested,Wheat,2014,3219700.0
Germany,Area harvested,Wheat,2015,3282700.0
Germany,Area harvested,Wheat,2016,3201700.0
Germany,Area harvested,Wheat,2017,3202600.0
Germany,Area harvested,Wheat,2018,3036300.0
Germany,Area harvested,Wheat,2019,3118100.0
Germany,Area harvested,Wheat,2020,2835500.0
Germany,Area harvested,Wheat,2021,2939000.0
Germany,Area harvested,Wheat,2022,2980900.0
Germany,Area harvested,Wheat,2023,2897800.0
Germany,Area harvested,Wheat,2024,2615200.0
Germany,Production,Wheat,1995,17763312.0
Germany,Production,Wheat,1996,18921683.0
Germany,Production,Wheat,1997,19826755.0
Germany,Production,Wheat,1998,20187491.0
Germany,Production,Wheat,1999,19615366.0
Germany,Production,Wheat,2000,21621548.0
Germany,Production,Wheat,2001,22837837.0
Germany,Production,Wheat,2002,20817740.0
Germany,Production,Wheat,2003,19259811.0
Germany,Production,Wheat,2004,25427210.0
Germany,Production,Wheat,2005,23692700.0
Germany,Production,Wheat,2006,22427900.0
Germany,Production,Wheat,2007,20828077.0
Germany,Production,Wheat,2008,25988564.0
Germany,Production,Wheat,2009,25192350.0
Germany,Production,Wheat,2010,23782955.0
Germany,Production,Wheat,2011,22782700.0
Germany,Production,Wheat,2012,22409300.0
Germany,Production,Wheat,2013,25019100.0
Germany,Production,Wheat,2014,27784700.0
Germany,Production,Wheat,2015,26549500.0
Germany,Production,Wheat,2016,24463800.0
Germany,Production,Wheat,2017,24481600.0
Germany,Production,Wheat,2018,20263500.0
Germany,Production,Wheat,2019,23062600.0
Germany,Production,Wheat,2020,22172100.0
Germany,Production,Wheat,2021,21459200.0
Germany,Production,Wheat,2022,22587300.0
Germany,Production,Wheat,2023,21535900.0
Germany,Production,Wheat,2024,18526700.0
Italy,Area harvested,Grapes,1995,899105.0
Italy,Area harvested,Grapes,1996,896260.0
Italy,Area harvested,Grapes,1997,879526.0
Italy,Area harvested,Grapes,1998,874390.0
Italy,Area harvested,Grapes,1999,877194.0
Italy,Area harvested,Grapes,2000,872730.0
Italy,Area harvested,Grapes,2001,859859.0
Italy,Area harvested,Grapes,2002,836330.0
Italy,Area harvested,Grapes,2003,835546.0
Italy,Area harvested,Grapes,2004,787000.0
Italy,Area harvested,Grapes,2005,793000.0
Italy,Area harvested,Grapes,2006,786000.0
Italy,Area harvested,Grapes,2007,782000.0
Italy,Area harvested,Grapes,2008,788100.0
Italy,Area harvested,Grapes,2009,801900.0
Italy,Area harvested,Grapes,2010,777500.0
Italy,Area harvested,Grapes,2011,725353.0
Italy,Area harvested,Grapes,2012,686644.0
Italy,Area harvested,Grapes,2013,702106.0
Italy,Area harvested,Grapes,2014,682183.0
Italy,Area harvested,Grapes,2015,672858.0
Italy,Area harvested,Grapes,2016,668087.0
Italy,Area harvested,Grapes,2017,670085.0
Italy,Area harvested,Grapes,2018,675820.0
Italy,Area harvested,Grapes,2019,697910.0
Italy,Area harvested,Grapes,2020,703900.0
Italy,Area harvested,Grapes,2021,702670.0
Italy,Area harvested,Grapes,2022,709890.0
Italy,Area harvested,Grapes,2023,713350.0
Italy,Area harvested,Grapes,2024,715790.0
Italy,Production,Grapes,1995,8447720.0
Italy,Production,Grapes,1996,9464542.0
Italy,Production,Grapes,1997,8057540.0
Italy,Production,Grapes,1998,9256801.0
Italy,Production,Grapes,1999,9361924.0
Italy,Production,Grapes,2000,8869500.0
Italy,Production,Grapes,2001,8988400.0
Italy,Production,Grapes,2002,7393880.0
Italy,Production,Grapes,2003,7482936.0
Italy,Production,Grapes,2004,8691970.0
Italy,Production,Grapes,2005,8553576.0
Italy,Production,Grapes,2006,8326688.0
Italy,Production,Grapes,2007,7392543.0
Italy,Production,Grapes,2008,7793301.0
Italy,Production,Grapes,2009,8242500.0
Italy,Production,Grapes,2010,7787800.0
Italy,Production,Grapes,2011,7444881.0
Italy,Production,Grapes,2012,6918043.9
Italy,Production,Grapes,2013,8010364.2
Italy,Production,Grapes,2014,6930794.4
Italy,Production,Grapes,2015,7915007.5
Italy,Production,Grapes,2016,8201913.6
Italy,Production,Grapes,2017,7169745.0
Italy,Production,Grapes,2018,8513640.0
Italy,Production,Grapes,2019,7900120.0
Italy,Production,Grapes,2020,8222360.0
Italy,Production,Grapes,2021,8149400.0
Italy,Production,Grapes,2022,8437970.0
Italy,Production,Grapes,2023,6668830.0
Italy,Production,Grapes,2024,7637640.0
Italy,Area harvested,Maize (corn),1995,941000.0
Italy,Area harvested,Maize (corn),1996,1023000.0
Italy,Area harvested,Maize (corn),1997,1039229.0
Italy,Area harvested,Maize (corn),1998,968799.0
Italy,Area harvested,Maize (corn),1999,1028000.0
Italy,Area harvested,Maize (corn),2000,1064000.0
Italy,Area harvested,Maize (corn),2001,1109341.0
Italy,Area harvested,Maize (corn),2002,1111952.0
Italy,Area harvested,Maize (corn),2003,1163229.0
Italy,Area harvested,Maize (corn),2004,1196953.0
Italy,Area harvested,Maize (corn),2005,1113166.0
Italy,Area harvested,Maize (corn),2006,1107997.0
Italy,Area harvested,Maize (corn),2007,1053396.0
Italy,Area harvested,Maize (corn),2008,991500.0
Italy,Area harvested,Maize (corn),2009,915500.0
Italy,Area harvested,Maize (corn),2010,926776.0
Italy,Area harvested,Maize (corn),2011,994831.0
Italy,Area harvested,Maize (corn),2012,978543.0
Italy,Area harvested,Maize (corn),2013,908114.0
Italy,Area harvested,Maize (corn),2014,869947.0
Italy,Area harvested,Maize (corn),2015,727366.0
Italy,Area harvested,Maize (corn),2016,660727.0
Italy,Area harvested,Maize (corn),2017,645742.0
Italy,Area harvested,Maize (corn),2018,591210.0
Italy,Area harvested,Maize (corn),2019,628800.0
Italy,Area harvested,Maize (corn),2020,602860.0
Italy,Area harvested,Maize (corn),2021,588600.0
Italy,Area harvested,Maize (corn),2022,563700.0
Italy,Area harvested,Maize (corn),2023,498450.0
Italy,Area harvested,Maize (corn),2024,495350.0
Italy,Production,Maize (corn),1995,8440300.0
Italy,Production,Maize (corn),1996,9547500.0
Italy,Production,Maize (corn),1997,10004698.0
Italy,Production,Maize (corn),1998,9030860.0
Italy,Production,Maize (corn),1999,10017200.0
Italy,Production,Maize (corn),2000,10137500.0
Italy,Production,Maize (corn),2001,10553706.0
Italy,Production,Maize (corn),2002,10554422.0
Italy,Production,Maize (corn),2003,8702288.0
Italy,Production,Maize (corn),2004,11368007.0
Italy,Production,Maize (corn),2005,10427930.0
Italy,Production,Maize (corn),2006,9671206.0
Italy,Production,Maize (corn),2007,9809266.0
Italy,Production,Maize (corn),2008,9491203.0
Italy,Production,Maize (corn),2009,7877700.0
Italy,Production,Maize (corn),2010,8495940.0
Italy,Production,Maize (corn),2011,9752592.0
Italy,Production,Maize (corn),2012,7860123.3
Italy,Production,Maize (corn),2013,7899616.5
Italy,Production,Maize (corn),2014,9239544.9
Italy,Production,Maize (corn),2015,7073896.0
Italy,Production,Maize (corn),2016,6839499.2
Italy,Production,Maize (corn),2017,6048499.0
Italy,Production,Maize (corn),2018,6199150.0
Italy,Production,Maize (corn),2019,6279120.0
Italy,Production,Maize (corn),2020,6793130.0
Italy,Production,Maize (corn),2021,6079960.0
Italy,Production,Maize (corn),2022,4697170.0
Italy,Production,Maize (corn),2023,5348700.0
Italy,Production,Maize (corn),2024,4940530.0
Italy,Area harvested,Sugar beet,1995,283993.0
Italy,Area harvested,Sugar beet,1996,258000.0
Italy,Area harvested,Sugar beet,1997,295209.0
Italy,Area harvested,Sugar beet,1998,288000.0
Italy,Area harvested,Sugar beet,1999,283785.0
Italy,Area harvested,Sugar beet,2000,267511.0
Italy,Area harvested,Sugar beet,2001,246445.0
Italy,Area harvested,Sugar beet,2002,242000.0
Italy,Area harvested,Sugar beet,2003,214172.0
Italy,Area harvested,Sugar beet,2004,185805.0
Italy,Area harvested,Sugar beet,2005,253043.0
Italy,Area harvested,Sugar beet,2006,91230.0
Italy,Area harvested,Sugar beet,2007,86275.0
Italy,Area harvested,Sugar beet,2008,61173.0
Italy,Area harvested,Sugar beet,2009,60614.0
Italy,Area harvested,Sugar beet,2010,62700.0
Italy,Area harvested,Sugar beet,2011,62235.0
Italy,Area harvested,Sugar beet,2012,53514.0
Italy,Area harvested,Sugar beet,2013,40712.0
Italy,Area harvested,Sugar beet,2014,51986.0
Italy,Area harvested,Sugar beet,2015,38124.0
Italy,Area harvested,Sugar beet,2016,32297.0
